0.001, 27055.3
0.003, 15598.7 
0.005, 12126.3  
0.007, 10218  
0.009, 9015.22  
0.011, 8111.62  
0.013, 7492.68   
0.015, 6967.26   
0.017, 6561.31   
0.019, 6176.52   
0.021, 5873.39   
0.023, 5661.97   
0.025, 5393.98   
0.028, 5112.93   
0.031, 4879.47   
0.034, 4617.29   
0.037, 4440.85   
0.04, 4299.74   
0.043, 4131.96   
0.046, 3973.06   
0.05, 3843.51   0.01 eV , 8788.49 barn  
0.01 eV , 7953.19 barn  
0.01 eV , 8556.54 barn  
0.01 eV , 8559.9 barn  
0.01 eV , 8556.32 barn  
0.01 eV , 8555.16 barn  
0.01 eV , 8555 barn  
0.01 eV , 8561.03 barn  
0.01 eV , 8534.17 barn  
0.01 eV , 8547.84 barn  
0.01 eV , 8545.07 barn  
0.01 eV , 8559.14 barn  
0.01 eV , 8552.19 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 4066.34 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 9567.38 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 9567.38 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 9016.17 barn  
0.01 eV , 7318.69 barn  
0.01 eV , 43895.3 barn  
0.01 eV , 6970.29 barn  
0.01 eV , 21790.2 barn  
0.01 eV , 9149.64 barn  
0.01 eV , 8611.79 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 9016.17 barn  
0.01 eV , 10392.5 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 4202.02 barn  
0.01 eV , 20414.7 barn  
0.01 eV , 4042.96 barn  
0.01 eV , 7095.9 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 9403.23 barn  
0.01 eV , 8499.87 barn  
0.01 eV , 8732.3 barn  
0.01 eV , 8561.3 barn  
0.01 eV , 8565.92 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 4202.02 barn  
0.01 eV , 20414.7 barn  
0.01 eV , 39161 barn  
0.01 eV , 7095.9 barn  
0.01 eV , 40697 barn  
0.01 eV , 4874.49 barn  
0.01 eV , 9819.77 barn  
0.01 eV , 7349.23 barn  
0.01 eV , 7257.96 barn  
0.01 eV , 15453.3 barn  
0.01 eV , 9005.79 barn  
0.01 eV , 8579.87 barn  
0.01 eV , 5205.54 barn  
0.01 eV , 8557.55 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 4202.02 barn  
0.01 eV , 20414.7 barn  
0.01 eV , 39161 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 4202.02 barn  
0.01 eV , 20414.7 barn  
0.01 eV , 4042.96 barn  
0.01 eV , 7095.9 barn  
0.01 eV , 2701.48 barn  
0.01 eV , 7932.73 barn  
0.01 eV , 5205.54 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 3113.49 barn  
0.01 eV , 8871.07 barn  
0.01 eV , 6912.22 barn  
0.01 eV , 5590.45 barn  
0.01 eV , 6912.22 barn  
0.01 eV , 6912.22 barn  
0.01 eV , 3049.61 barn  
0.01 eV , 10986.1 barn  
0.01 eV , 8534.4 barn  
0.01 eV , 11506.2 barn  
0.01 eV , 8557.39 barn  
0.01 eV , 5590.45 barn  
0.01 eV , 5590.45 barn  
0.01 eV , 10986.1 barn  
0.01 eV , 10986.1 barn  
0.01 eV , 10986.1 barn  
0.01 eV , 10986.1 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 3113.49 barn  
0.01 eV , 8738.69 barn  
0.01 eV , 7681.81 barn  
0.01 eV , 7932.73 barn  
0.01 eV , 5491.46 barn  
0.01 eV , 8712.11 barn  
0.01 eV , 13375.4 barn  
0.01 eV , 8539.12 barn  
0.01 eV , 8566.61 barn  
0.01 eV , 8556.79 barn  
0.01 eV , 8563.58 barn  
0.01 eV , 8412.39 barn  
0.01 eV , 8530.23 barn  
0.01 eV , 8557.08 barn  
0.01 eV , 8541.44 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 4202.02 barn  
0.01 eV , 8039.03 barn  
0.01 eV , 8039.03 barn  
0.01 eV , 8556.62 barn  
0.01 eV , 8701.18 barn  
0.01 eV , 8039.03 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 9112.82 barn  
0.01 eV , 12018.9 barn  
0.01 eV , 8541.18 barn  
0.01 eV , 8560.78 barn  
0.01 eV , 8562.44 barn  
0.01 eV , 8560.63 barn  
0.01 eV , 8558.87 barn  
0.01 eV , 8563.07 barn  
0.01 eV , 8562.36 barn  
0.01 eV , 8561.26 barn  
0.01 eV , 8560.62 barn  
0.01 eV , 8561.93 barn  
0.001 eV , 27011.8 barn  
0.001 eV , 26954 barn  
0.001 eV , 27183.9 barn  
0.04 eV , 4272.92 barn  
0.04 eV , 4313.04 barn  
0.04 eV , 4268.19 barn  
0.04 eV , 4275.25 barn  
0.04 eV , 4315.17 barn  
0.04 eV , 4308.45 barn  
0.025 eV , 5500.85 barn  
0.025 eV , 6021.72 barn  
0.025 eV , 6393.86 barn  
0.025 eV , 5389.47 barn  
0.025 eV , 5415.08 barn  
0.025 eV , 5415.82 barn  
0.025 eV , 5417.52 barn  
0.025 eV , 4400.3 barn  
0.025 eV , 4400.3 barn  
0.025 eV , 5386.09 barn  
0.025 eV , 5388.5 barn  
0.025 eV , 5390.16 barn  
0.025 eV , 6514.68 barn  
0.025 eV , 5401.01 barn  
0.025 eV , 5219.85 barn  
0.025 eV , 5409.31 barn  
0.025 eV , 5411.62 barn  
0.025 eV , 5389.48 barn  
0.025 eV , 5386.58 barn  
0.025 eV , 5328.27 barn  
0.025 eV , 5402.58 barn  
0.025 eV , 5406.99 barn  
0.025 eV , 5384.99 barn  
